"Date","Price","Open","High","Low","Vol.","Change %"
"16/10/2019","603.60","601.10","608.90","601.10","28.20M","-0.38%"
"15/10/2019","605.90","604.80","607.10","597.60","26.02M","-0.23%"
"14/10/2019","607.30","609.80","610.84","604.57","21.56M","-0.02%"
"11/10/2019","607.40","598.70","613.90","598.60","53.12M","1.57%"
"10/10/2019","598.00","599.60","602.10","595.90","20.92M","-1.09%"
"09/10/2019","604.60","602.50","606.70","600.00","22.88M","0.90%"
"08/10/2019","599.20","610.20","610.30","599.20","24.72M","-0.84%"
"07/10/2019","604.30","597.20","606.40","595.17","15.26M","0.40%"
"04/10/2019","601.90","602.00","602.50","596.70","25.67M","-0.20%"
"03/10/2019","603.10","613.00","613.80","596.30","28.30M","0.02%"
"02/10/2019","603.00","621.30","621.90","603.00","31.78M","-2.73%"
"01/10/2019","619.90","626.60","627.50","618.00","18.29M","-0.75%"
"30/09/2019","624.60","624.30","628.30","624.30","16.97M","0.05%"
"27/09/2019","624.30","620.80","627.10","620.00","19.62M","0.82%"
"26/09/2019","619.20","613.20","624.00","613.10","28.96M","0.55%"
"25/09/2019","615.80","610.00","615.80","606.50","20.45M","0.74%"
"24/09/2019","611.30","616.10","617.40","609.40","18.42M","-0.26%"
"23/09/2019","612.90","612.80","619.96","606.60","15.81M","-0.44%"
"20/09/2019","615.60","611.60","616.90","609.50","60.08M","-0.06%"
"19/09/2019","616.00","609.10","618.30","607.80","25.97M","1.05%"
"18/09/2019","609.60","612.20","615.70","609.60","13.81M","-0.39%"
"17/09/2019","612.00","616.80","617.40","611.40","21.02M","-1.07%"
"16/09/2019","618.60","623.20","624.90","618.60","30.07M","-1.92%"
"13/09/2019","630.70","624.30","631.42","622.40","20.31M","0.72%"
"12/09/2019","626.20","627.10","630.40","620.30","26.61M","0.11%"
"11/09/2019","625.50","621.70","633.50","621.70","29.63M","1.94%"
"10/09/2019","613.60","606.70","616.25","605.47","32.90M","1.09%"
"09/09/2019","607.00","603.90","607.00","599.90","16.83M","1.00%"
"06/09/2019","601.00","599.40","603.40","597.70","17.89M","0.37%"
"05/09/2019","598.80","600.00","601.50","594.51","27.19M","-0.88%"
"04/09/2019","604.10","608.60","610.40","602.30","39.07M","1.75%"
"03/09/2019","593.70","594.50","598.10","593.00","27.12M","-0.20%"
"02/09/2019","594.90","586.40","597.90","586.10","29.64M","0.59%"
"30/08/2019","591.40","589.30","598.96","587.80","30.71M","-0.02%"
"29/08/2019","591.50","582.50","592.30","582.50","28.04M","1.67%"
"28/08/2019","581.80","581.20","585.70","578.20","27.91M","0.15%"
"27/08/2019","580.90","583.80","585.90","580.90","66.74M","-0.94%"
"23/08/2019","586.40","596.00","596.90","586.40","30.38M","-1.23%"
"22/08/2019","593.70","596.00","600.00","590.20","29.95M","-0.77%"
"21/08/2019","598.30","597.60","604.10","597.60","26.06M","0.23%"
"20/08/2019","596.90","601.70","605.56","596.50","27.34M","-1.13%"
"19/08/2019","603.70","606.10","610.20","603.70","36.07M","1.09%"
"16/08/2019","597.20","593.00","598.40","590.30","28.98M","1.00%"
"15/08/2019","591.30","597.50","599.10","588.70","38.71M","-1.81%"
"14/08/2019","602.20","612.80","615.20","600.50","40.95M","-1.97%"
"13/08/2019","614.30","607.20","617.40","606.10","36.17M","0.54%"
"12/08/2019","611.00","629.50","630.00","605.80","39.79M","-1.77%"
"09/08/2019","622.00","630.00","631.40","622.00","42.71M","-1.94%"
"08/08/2019","634.30","632.40","634.30","626.50","31.53M","1.10%"
"07/08/2019","627.40","629.80","635.70","624.20","24.21M","-0.08%"
"06/08/2019","627.90","630.90","638.10","627.10","24.85M","0.18%"
"05/08/2019","626.80","634.60","647.60","624.70","33.78M","-2.99%"
"02/08/2019","646.10","658.10","659.00","644.30","30.78M","-2.99%"
"01/08/2019","666.00","663.40","669.50","661.50","22.24M","1.42%"
"31/07/2019","656.70","666.70","666.70","655.70","19.77M","-1.22%"
"30/07/2019","664.80","670.00","671.40","661.75","19.20M","-0.24%"
"29/07/2019","666.40","658.80","669.10","657.30","22.49M","0.60%"
"26/07/2019","662.40","659.00","664.70","658.30","15.63M","1.11%"
"25/07/2019","655.10","660.70","663.40","653.20","27.22M","-0.20%"
"24/07/2019","656.40","668.90","669.55","655.80","24.64M","-2.16%"
"23/07/2019","670.90","666.80","673.70","665.80","18.92M","1.25%"
"22/07/2019","662.60","662.80","667.80","660.60","15.74M","-0.02%"
"19/07/2019","662.70","664.60","666.30","658.20","17.08M","0.20%"
"18/07/2019","661.40","663.70","666.30","660.60","12.82M","-0.44%"
"17/07/2019","664.30","670.40","671.70","662.40","14.28M","-0.92%"
"16/07/2019","670.50","668.20","673.30","665.90","13.67M","0.49%"
"15/07/2019","667.20","661.90","668.30","659.20","12.25M","0.57%"
"12/07/2019","663.40","664.50","667.40","662.70","10.98M","-0.17%"
"11/07/2019","664.50","667.00","667.72","662.70","10.80M","-0.33%"
"10/07/2019","666.70","670.00","670.30","666.20","14.44M","-0.60%"
"09/07/2019","670.70","666.90","672.30","665.70","12.75M","0.33%"
"08/07/2019","668.50","665.40","669.10","664.60","12.37M","-0.59%"
"05/07/2019","672.50","670.60","674.80","668.70","13.68M","0.13%"
"04/07/2019","671.60","669.00","673.70","669.00","11.10M","0.01%"
"03/07/2019","671.50","668.80","671.50","667.40","13.22M","0.39%"
"02/07/2019","668.90","665.90","669.70","661.30","16.38M","1.07%"
"01/07/2019","661.80","660.00","665.80","660.00","15.93M","0.75%"
"28/06/2019","656.90","652.40","659.10","652.40","17.34M","0.32%"
"27/06/2019","654.80","655.40","656.10","651.50","14.60M","0.78%"
"26/06/2019","649.70","646.60","653.60","646.10","13.59M","0.29%"
"25/06/2019","647.80","641.80","647.80","641.00","11.20M","0.31%"
"24/06/2019","645.80","647.40","649.00","644.30","11.02M","-0.58%"
"21/06/2019","649.60","652.60","656.16","646.00","61.15M","-0.67%"
"20/06/2019","654.00","656.00","657.00","652.10","23.26M","-0.50%"
"19/06/2019","657.30","659.70","661.90","657.20","21.46M","-0.05%"
"18/06/2019","657.60","652.60","659.90","650.40","23.65M","1.00%"
"17/06/2019","651.10","650.40","652.70","648.70","16.40M","0.85%"
"14/06/2019","645.60","644.10","646.30","640.90","19.75M","-0.36%"
"13/06/2019","647.90","646.40","651.70","644.70","17.30M","-0.15%"
"12/06/2019","648.90","651.00","651.80","647.30","22.93M","-1.07%"
"11/06/2019","655.90","658.30","660.05","655.90","15.79M","-0.38%"
"10/06/2019","658.40","652.00","658.40","651.50","13.34M","1.15%"
"07/06/2019","650.90","645.50","651.80","645.20","19.19M","1.06%"
"06/06/2019","644.10","646.00","649.00","642.00","17.84M","-0.34%"
"05/06/2019","646.30","645.90","647.45","641.80","18.40M","-0.22%"
"04/06/2019","647.70","641.00","648.80","641.00","23.40M","0.12%"
"03/06/2019","646.90","641.00","646.90","638.00","19.86M","0.28%"
"31/05/2019","645.10","649.00","650.60","642.95","23.86M","-1.30%"
"30/05/2019","653.60","653.40","655.80","651.10","34.76M","-0.29%"
"29/05/2019","655.50","655.00","656.60","649.30","21.40M","-0.46%"
"28/05/2019","658.50","659.40","660.20","654.40","30.11M","-0.14%"
"24/05/2019","659.40","660.60","663.20","656.60","11.63M","0.02%"
"23/05/2019","659.30","658.30","661.10","654.50","19.66M","0.27%"
"22/05/2019","657.50","656.30","662.20","655.00","24.08M","0.77%"
"21/05/2019","652.50","655.10","656.50","651.50","15.43M","0.37%"
"20/05/2019","650.10","652.80","654.60","645.10","36.13M","-0.70%"
"17/05/2019","654.70","655.00","658.40","650.60","45.97M","-0.95%"
"16/05/2019","661.00","656.60","662.20","654.80","15.92M","-0.35%"
"15/05/2019","663.30","658.00","663.30","656.60","18.79M","1.48%"
"14/05/2019","653.60","652.30","654.50","649.80","14.88M","0.55%"
"13/05/2019","650.00","655.80","656.30","647.20","12.22M","-0.31%"
"10/05/2019","652.00","656.00","659.70","650.30","10.34M","0.02%"
"09/05/2019","651.90","653.00","653.50","648.30","15.45M","-1.08%"
